userid,default,acct_amt_added_12_24m,acct_days_in_dc_12_24m,acct_days_in_rem_12_24m,acct_days_in_term_12_24m,acct_incoming_debt_vs_paid_0_24m,acct_status,acct_worst_status_0_3m,acct_worst_status_12_24m,acct_worst_status_3_6m,acct_worst_status_6_12m,age,avg_payment_span_0_12m,avg_payment_span_0_3m,merchant_category,merchant_group,has_paid,max_paid_inv_0_12m,max_paid_inv_0_24m,name_in_email,num_active_div_by_paid_inv_0_12m,num_active_inv,num_arch_dc_0_12m,num_arch_dc_12_24m,num_arch_ok_0_12m,num_arch_ok_12_24m,num_arch_rem_0_12m,status_max_archived_0_6_months,status_max_archived_0_12_months,status_max_archived_0_24_months,recovery_debt,sum_capital_paid_acct_0_12m,sum_capital_paid_acct_12_24m,sum_paid_inv_0_12m,time_hours
1954246.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,28.0,14.5,15.0,Diversified entertainment,Entertainment,1.0,6380.0,7790.0,L1+F,0.0,0.0,0.0,0.0,4.0,12.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14145.0,15.625
1905037.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,26.0,14.9090909090909,13.0,Fragrances,Health & Beauty,1.0,0.0,2990.0,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.75
1741277.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,46.0,14.6666666666667,11.0,Diversified entertainment,Entertainment,1.0,2385.0,5475.0,F+L,0.333333333333333,1.0,0.0,0.0,3.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5765.0,19.5594444444444
2319587.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,37.0,6.0,6.0,Diversified entertainment,Entertainment,1.0,0.0,2780.0,L1+F,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.205
4571778.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,48.0,14.0,17.0,Diversified entertainment,Entertainment,1.0,9080.0,9080.0,no_match,0.0,0.0,0.0,0.0,15.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,69814.0,13.4644444444444
3003057.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,24.0,14.9090909090909,13.0,Youthful Shoes & Clothing,Clothing & Shoes,1.0,0.0,8147.0,no_match,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.2833333333333
1681238.0,0.0,25725.0,0.0,0.0,0.0,0.385150741551179,1.0,1.0,1.0,1.0,1.0,47.0,14.5,13.5,Diversified entertainment,Entertainment,1.0,7285.0,7285.0,Nick,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,13810.0,5206.0,16950.0,12.2933333333333
4007420.0,0.0,84672.0,0.0,13.0,0.0,0.446236143335911,1.0,2.0,2.0,1.0,1.0,18.0,28.0555555555556,13.2,Dietary supplements,Health & Beauty,1.0,19681.0,19681.0,F+L,0.111111111111111,2.0,1.0,1.0,11.0,6.0,6.0,3.0,3.0,3.0,0.0,28478.0,22439.0,132405.0,17.0266666666667
1335390.0,0.0,82501.0,0.0,8.0,0.0,0.347757447138901,1.0,2.0,2.0,1.0,1.0,30.0,17.0833333333333,13.0,Diversified children products,Children Products,1.0,8490.0,8490.0,F+L,0.166666666666667,2.0,0.0,0.0,11.0,12.0,1.0,1.0,2.0,2.0,0.0,38343.0,51582.0,39660.0,8.495
4876964.0,0.0,0.0,0.0,0.0,0.0,0.262903225806452,1.0,1.0,1.0,1.0,1.0,31.0,18.5,22.0,Diversified children products,Children Products,1.0,14488.0,18694.0,L1+F,0.0,0.0,0.0,0.0,4.0,7.0,0.0,1.0,1.0,1.0,0.0,12363.0,0.0,48097.0,19.8361111111111
4339851.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,32.0,12.5454545454545,9.0,Dietary supplements,Health & Beauty,1.0,4265.0,6990.0,F+L,0.25,3.0,0.0,0.0,10.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29550.0,14.0761111111111
4087142.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,43.0,12.2,13.0,Diversified entertainment,Entertainment,1.0,2595.0,2595.0,Nick,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6660.0,19.0902777777778
3362340.0,0.0,0.0,0.0,0.0,0.0,0.128732077593478,1.0,1.0,1.0,1.0,1.0,40.0,10.0,13.0,Diversified entertainment,Entertainment,1.0,9589.0,16260.0,F+L,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,1.0,1.0,0.0,29902.0,0.0,33546.0,21.675
2057736.0,0.0,546.0,0.0,0.0,0.0,0.00184331797235023,1.0,1.0,1.0,1.0,1.0,29.0,14.9090909090909,13.0,Books & Magazines,Entertainment,1.0,0.0,2776.0,F+L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,0.0,18.1569444444444
2842556.0,0.0,4912.0,0.0,0.0,0.0,0.272089282123467,1.0,2.0,1.0,2.0,1.0,36.0,52.75,13.0,Sports gear & Outdoor,Leisure,1.0,6170.0,7720.0,F+L,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17057.0,15.8083333333333
1107529.0,0.0,6911.0,0.0,0.0,0.0,0.933676505593906,1.0,1.0,1.0,1.0,1.0,26.0,15.8,18.75,Concept stores & Miscellaneous,Leisure,1.0,6170.0,7720.0,F+L,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17057.0,15.8083333333333
1476586.0,0.0,0.0,0.0,0.0,0.0,3.28813069249675,1.0,1.0,1.0,1.0,2.0,37.0,16.6,12.25,Diversified entertainment,Entertainment,1.0,14900.0,14900.0,L1+F,0.0625,1.0,1.0,0.0,14.0,0.0,0.0,3.0,3.0,3.0,0.0,4273.0,0.0,57759.0,15.7222222222222
2223971.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,48.0,12.2,11.0,Diversified entertainment,Entertainment,1.0,5995.0,5995.0,no_match,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23354.0,13.7380555555556
3888806.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,57.0,10.2321428571429,7.76190476190476,Diversified entertainment,Entertainment,1.0,10175.0,13865.0,F,0.0689655172413793,8.0,0.0,0.0,112.0,107.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,354667.0,9.15694444444444
1808955.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,42.0,17.0,13.0,Sports gear & Outdoor,Leisure,1.0,6170.0,7720.0,F+L,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17057.0,15.8083333333333
4070630.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,21.0,7.84210526315789,7.75,Diversified entertainment,Entertainment,1.0,35870.0,35870.0,no_match,0.15,3.0,0.0,0.0,19.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,181817.0,20.1675
3870937.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,33.0,14.9090909090909,13.0,Diversified erotic material,Erotic Materials,0.0,0.0,0.0,F+L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6797222222222
1916981.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,55.0,14.9090909090909,13.0,Food & Beverage,Food & Beverage,0.0,0.0,0.0,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2472222222222
4387400.0,0.0,0.0,0.0,0.0,0.0,0.152089930419794,1.0,1.0,1.0,1.0,1.0,18.0,14.9090909090909,13.0,Diversified entertainment,Entertainment,0.0,0.0,0.0,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3416666666667
